Code,Name,Timings,Room No
,,Thu:08.30-09.55,102
ECE205,Linear Electronic Circuits,Mon:10.00-11.25,101
,,Thu:10.00-11.25,101
CLG451,Linguistic Data : Collection and Analysis,Fri:10.00-11.25,B6-309
,,Tue:10.00-11.25,B6-309
CLG411,Linguistics 1: Language Typology and Universals,Mon:11.30-12.55,B4-301
,,Thu:11.30-12.55,B4-301
CSE577,Machine Learning,Mon:08.30-09.55,201
,,Thu:08.30-09.55,201
IMA403,Mathematical Analysis,Sat:10.00-11.25,101
,,Wed:10.00-11.25,101
IMA101,Mathematics I,Fri:08.30-09.25,SH1
,,Fri:09.30-10.25,CR2
,,Mon:08.30-09.25,SH1
,,Mon:09.30-10.25,CR2
,,Wed:08.30-09.25,SH1
,,Wed:09.30-10.25,CR2
IMA201,Mathematics III,Sat:11.30-12.55,SH2
,,Tue:11.30-12.55,SH2
SCI550,Maths and Statistics,Fri:11.30-12.55,101
,,Tue:11.30-12.55,101
CSE483,Mobile Robotics,Fri:14.00-15.25,202
,,Tue:14.00-15.25,202
CSE504,Modern Computer Architecture,Sat:10.00-11.25,102
,,Wed:10.00-11.25,102
SCI422,Molecular Biology,Mon:11.30-12.55,202
,,Thu:11.30-12.55,202
CSE472,Natural Language Processing,Mon:08.30-09.55,CR1
,,Thu:08.30-09.55,CR1
HSS354,Non-Violence,Sat:14.00-15.25,201
,,Wed:14.00-15.25,201
IMA404,Number Theory and Cryptology,Mon:10.00-11.25,104
,,Thu:10.00-11.25,104
HSS310,Ontology,Mon:10.00-11.25,CR1
,,Thu:10.00-11.25,CR1
ICS231,Operating Systems,Mon:10.00-11.25,SH2
,,Thu:10.00-11.25,SH2
CSE531,Operating Systems (PG),Mon:08.30-09.55,N104
,,Thu:08.30-09.55,N104
IMA406,Operations Research,Fri:08.30-09.55,102
,,Tue:08.30-09.55,102
SCI635,"Optics, Symmetry and Spectroscopy",Fri:14.00-15.25,102
,,Tue:14.00-15.25,102
CSE502,Parallel Programming,Fri:10.00-11.25,CR1
,,Tue:10.00-11.25,CR1
CLG413,Phonetics and Phonology,Sat:11.30-12.55,201
,,Wed:11.30-12.55,201
HSS362,Political and Economic Thought for Human Society,Sat:14.00-15.25,102
,,Wed:14.00-15.25,102
CSE415,Principles of Programming Languages,Mon:11.30-12.55,SH1
,,Thu:11.30-12.55,SH1
ECE230,Probability & Random Processes,Sat:11.30-12.55,101
,,Wed:11.30-12.55,101
SCI463,Quantuam Information and Computing,Sat:10.00-11.25,104
,,Wed:10.00-11.25,104
CSE991,Research Methodology,Sat:08.30-09.55,N104
,,Wed:08.30-09.55,N104
CSE540,Research in Information Security,Mon:11.30-12.55,103
,,Thu:11.30-12.55,103
ICS261,SSAD & Project,Mon:11.30-12.55,SH2
,,Thu:11.30-12.55,SH2
ISC201,Science I,Fri:11.30-12.55,SH2
,,Tue:11.30-12.55,SH2
SCI371,Science Lab 1,Mon:14.00-17.00,
CSE505,Scripting and Computer Environments,Fri:14.00-15.25,305
,,Tue:14.00-15.25,305
CES641,Seismic Eva and Strengthening of Buildings,Fri:08.30-09.55,101
,,Tue:08.30-09.55,101
HSS240,Sense of Past,Thu:08.30-10.00,C1-302
,,Tue:08.30-10.00,C1-302
ECE241,Signals and Systems,Mon:11.30-12.55,101
,,Thu:11.30-12.55,101
CSE861,Software Quality Engineering,Mon:14.00-15.25,202
,,Thu:14.00-15.25,202
CEG628,Soil Dynamics and Machine Foundations,Fri:10.00-11.25,102
,,Tue:10.00-11.25,102
HSS401,Space Time in Arts and Humanities,Sat:14.00-15.25,101
,,Wed:14.00-15.25,101
CSE591,Spatial Informatics,Mon:08.30-09.55,202
,,Thu:08.30-09.55,202
ECE448,Speech Signal Processing,Mon:08.30-09.55,101
,,Thu:08.30-09.55,101
ECE446,Speech Systems,Fri:10.00-11.25,103
,,Tue:10.00-11.25,103
CSE471,Statistical Methods in AI,Fri:10.00-11.25,N104
,,Tue:10.00-11.25,N104
CES631,Structural Dynamics,Mon:08.30-09.55,301
,,Thu:08.30-09.55,301
HSS462,Studies in Alternative Development,Fri:11.30-12.55,104
,,Tue:11.30-12.55,104
CEA611,Theory of Elasticity,Fri:14.00-15.25,N104
,,Tue:14.00-15.25,N104
ECE442,Time Frequency Analysis,Sat:08.30-09.55,101
,,Wed:08.30-09.55,101
ECE561,VLSI Algorithms,Fri:14.00-15.25,104
,,Tue:14.00-15.25,104
